sr_no,total_sqft,bath,price,site_location,bhk
2573,1464.0,3.0,56.0,Dhole Patil Road,3
2574,1400.0,2.0,82.0,Dhole Patil Road,2
2575,600.0,3.0,45.0,Dhole Patil Road,2
2576,1025.0,2.0,54.1,Dhole Patil Road,2
2577,915.0,2.0,37.0,Dhole Patil Road,2
2578,1200.0,2.0,66.0,Dhole Patil Road,3
2579,1418.0,2.0,104.0,Dhole Patil Road,2
2580,1800.0,3.0,90.0,Dhole Patil Road,3
2581,1500.0,2.0,88.0,Dhole Patil Road,2
2582,750.0,2.0,40.0,Dhole Patil Road,2
2583,2640.0,5.0,142.0,Dhole Patil Road,3
2584,1850.0,3.0,150.0,Dhole Patil Road,3
2585,914.0,2.0,49.0,Dhole Patil Road,2
2586,530.0,1.0,29.44,Dhole Patil Road,1
2587,5000.0,4.0,465.0,Dhole Patil Road,4
2588,1600.0,3.0,75.0,Dhole Patil Road,3
2589,1890.0,3.0,108.0,Dhole Patil Road,3
2590,1550.0,3.0,63.5,Dhole Patil Road,3
2591,1447.0,2.0,75.97,Dhole Patil Road,2
2592,1000.0,2.0,62.0,Dhole Patil Road,2
2593,2000.0,4.0,145.0,Dhole Patil Road,5
2594,1140.0,2.0,42.0,Dhole Patil Road,2
2595,1185.0,2.0,50.0,Dhole Patil Road,2
2596,1025.0,2.0,53.9,Dhole Patil Road,2
2597,1500.0,3.0,104.0,Dhole Patil Road,3
2598,1375.0,2.0,72.0,Dhole Patil Road,2
2599,1785.0,3.0,120.0,Dhole Patil Road,3
2600,1255.0,3.0,115.0,Dhole Patil Road,3
2601,1265.0,2.0,55.0,Dhole Patil Road,2
2602,1082.0,2.0,45.5,Dhole Patil Road,3
2603,1415.0,3.0,65.0,Dhole Patil Road,3
2604,965.0,2.0,56.0,Dhole Patil Road,2
2605,1125.0,2.0,56.8,Dhole Patil Road,2
2606,5200.0,5.0,242.0,Dhole Patil Road,4
2607,1580.0,3.0,60.0,Dhole Patil Road,3
2608,1120.0,2.0,65.0,Dhole Patil Road,2
2609,1502.0,3.0,50.0,Dhole Patil Road,3
2610,1071.0,2.0,51.0,Dhole Patil Road,2
2611,1998.0,3.0,117.0,Dhole Patil Road,3
2612,600.0,1.0,45.0,Dhole Patil Road,1
2613,1220.0,2.0,65.0,Dhole Patil Road,2
2614,1105.0,2.0,50.0,Dhole Patil Road,2
2615,1450.0,2.0,63.51,Dhole Patil Road,3
2616,708.0,2.0,32.0,Dhole Patil Road,2
2617,1089.0,2.0,43.55,Dhole Patil Road,2
2618,697.0,1.0,35.0,Dhole Patil Road,1
2619,1310.0,2.0,111.0,Dhole Patil Road,2
2620,1169.0,2.0,75.0,Dhole Patil Road,2
2621,970.0,2.0,34.0,Dhole Patil Road,2
2622,1303.0,2.0,80.0,Dhole Patil Road,2
2623,1400.0,2.0,75.0,Dhole Patil Road,2
2624,1679.0,3.0,94.86,Dhole Patil Road,3
2625,2630.0,5.0,188.0,Dhole Patil Road,4
2626,1360.0,2.0,70.0,Dhole Patil Road,3
2627,1090.0,2.0,57.0,Dhole Patil Road,2
2628,703.0,2.0,60.0,Dhole Patil Road,2
2629,1400.0,5.0,97.0,Dhole Patil Road,5
2630,1150.0,2.0,40.21,Dhole Patil Road,2
2631,1120.0,2.0,50.0,Dhole Patil Road,2
2632,1881.0,3.0,145.0,Dhole Patil Road,3
2633,991.0,2.0,40.0,Dhole Patil Road,2
2634,1055.0,2.0,43.0,Dhole Patil Road,2
2635,1172.0,2.0,56.725,Dhole Patil Road,2
2636,1268.0,2.0,58.0,Dhole Patil Road,2
2637,1441.0,2.0,115.0,Dhole Patil Road,2
2638,1200.0,3.0,65.0,Dhole Patil Road,5
2639,1633.0,3.0,110.0,Dhole Patil Road,3
2640,1353.0,2.0,75.0,Dhole Patil Road,2
2641,1200.0,2.0,66.0,Dhole Patil Road,3
2642,1980.0,4.0,166.0,Dhole Patil Road,3
2643,1050.0,2.0,37.0,Dhole Patil Road,2
2644,1665.0,3.0,85.0,Dhole Patil Road,3
2645,1500.0,2.0,45.0,Dhole Patil Road,2
2646,1151.0,2.0,42.5,Dhole Patil Road,2
2647,700.0,1.0,25.5,Dhole Patil Road,1
2648,1350.0,2.0,47.0,Dhole Patil Road,3
2649,1876.0,3.0,150.0,Dhole Patil Road,3
2650,1347.0,2.0,44.0,Dhole Patil Road,3
2651,615.0,1.0,43.08,Dhole Patil Road,1
2652,2150.0,3.0,85.0,Dhole Patil Road,4
2653,900.0,2.0,42.0,Dhole Patil Road,2
2654,1290.0,2.0,70.0,Dhole Patil Road,2
2655,1012.0,2.0,62.0,Dhole Patil Road,2
2656,1226.0,2.0,60.0,Dhole Patil Road,3
2657,1100.0,2.0,75.0,Erandwane,2
2658,1580.0,3.0,100.0,Erandwane,3
2659,1438.0,2.0,100.0,Erandwane,2
2660,1200.0,2.0,125.0,Erandwane,4
2661,1300.0,3.0,58.0,Erandwane,3
2662,1249.0,3.0,44.71,Erandwane,3
2663,1240.0,2.0,60.0,Erandwane,2
2664,1556.0,2.0,59.13,Erandwane,3
2665,1050.0,2.0,52.07,Erandwane,2
2666,1875.0,3.0,110.0,Erandwane,3
2667,924.0,2.0,65.0,Erandwane,2
2668,1375.0,2.0,50.0,Erandwane,3
2669,1157.0,2.0,75.0,Erandwane,3
2670,2424.0,3.0,90.0,Erandwane,3
2671,2400.0,5.0,85.0,Erandwane,4
2672,1065.0,2.0,42.6,Erandwane,2
2673,1354.0,3.0,90.0,Erandwane,3
2674,3951.0,4.0,220.0,Erandwane,4
2675,1015.0,2.0,43.0,Erandwane,2
2676,1050.0,2.0,85.0,Erandwane,2
2677,1800.0,4.0,145.0,Erandwane,4
2678,2700.0,7.0,125.0,Erandwane,5
2679,1550.0,3.0,82.0,Erandwane,3
2680,3500.0,4.0,330.0,Erandwane,3
2681,1190.0,2.0,67.0,Erandwane,2
2682,1850.0,3.0,140.0,Erandwane,3
2683,1200.0,7.0,110.0,Erandwane,8
2684,920.0,2.0,37.46,Erandwane,2
2685,1697.0,3.0,115.0,Erandwane,3
2686,850.0,2.0,55.0,Erandwane,2
2687,1447.0,2.0,75.97,Erandwane,2
2688,1088.0,2.0,68.0,Erandwane,2
2689,1295.0,2.0,50.28,Erandwane,3
2690,1530.0,3.0,77.0,Erandwane,3
2691,1300.0,3.0,69.0,Erandwane,3
2692,2885.0,3.0,185.0,Erandwane,4
2693,2100.0,6.0,71.0,Erandwane,6
2694,1310.0,2.0,72.0,Erandwane,2
2695,1440.0,3.0,65.8,Erandwane,3
2696,1758.0,3.0,95.0,Erandwane,3
2697,1450.0,3.0,68.0,Erandwane,3
2698,1787.0,3.0,123.0,Erandwane,3
2699,1340.0,2.0,77.0,Erandwane,2
2700,1036.0,2.0,110.0,Erandwane,2
2701,1363.0,2.0,79.0,Erandwane,2
2702,1615.0,3.0,115.0,Erandwane,3
2703,1314.0,2.0,68.8,Erandwane,2
2704,500.0,1.0,17.0,Erandwane,1
2705,2585.5,4.0,139.5,Erandwane,4
2706,1665.0,3.0,86.58,Erandwane,3
2707,1550.0,4.0,120.0,Erandwane,4
2708,1247.0,2.0,58.0,Erandwane,3
2709,1198.0,2.0,65.0,Erandwane,2
2710,2882.0,5.0,158.0,Erandwane,4
2711,1682.0,3.0,113.0,Erandwane,3
2712,1215.0,2.0,59.0,Erandwane,2
2713,1431.0,3.0,65.0,Erandwane,3
2714,1083.0,2.0,100.0,Erandwane,2
2715,1464.0,3.0,56.0,Erandwane,3
2716,1877.0,4.0,150.0,Erandwane,3
2717,2047.0,3.0,136.0,Erandwane,3
2718,810.0,2.0,34.5,Erandwane,2
2719,1051.0,2.0,61.0,Erandwane,2
2720,1200.0,2.0,58.0,Erandwane,2
2721,1050.0,2.0,80.0,Erandwane,2
2722,1116.0,2.0,40.0,Erandwane,2
2723,1190.0,2.0,39.25,Erandwane,2
2724,762.5,1.0,45.4,Erandwane,1
2725,1176.0,2.0,45.0,Erandwane,3
2726,1512.0,3.0,80.0,Erandwane,3
2727,1225.0,2.0,48.0,Erandwane,2
2728,1025.0,2.0,35.88,Erandwane,2
2729,2388.0,3.0,195.0,Erandwane,3
2730,1800.0,3.0,150.0,Erandwane,3
2731,1139.0,2.0,72.0,Erandwane,2
2732,1445.0,2.0,82.0,Erandwane,2
2733,2400.0,2.0,230.0,Erandwane,1
2734,1352.0,2.0,72.0,Erandwane,2
2735,1206.0,2.0,40.0,Erandwane,2
2736,933.0,2.0,55.0,Erandwane,2
2737,1560.0,2.0,125.0,Erandwane,3
2738,1416.0,2.0,85.0,Erandwane,3
2739,1450.0,3.0,75.0,Erandwane,3
2740,1225.0,2.0,48.0,Erandwane,2
2741,1155.0,2.0,69.18,Erandwane,2
2742,1390.0,2.0,50.0,Erandwane,3
2743,2285.0,4.0,165.0,Erandwane,3
2744,1733.5,3.0,120.0,Erandwane,3
2745,1150.0,2.0,52.0,Erandwane,2
2746,1493.0,2.0,90.0,Erandwane,3
2747,1555.0,3.0,125.0,Erandwane,3
2748,615.0,1.0,46.0,Erandwane,1
2749,3000.0,3.0,265.0,Erandwane,3
2750,1101.0,2.0,50.0,Erandwane,2
2751,1157.0,2.0,47.32,Erandwane,2
2752,1162.0,2.0,64.08,Erandwane,2
2753,1402.0,2.0,95.0,Erandwane,2
2754,1151.0,2.0,46.0,Erandwane,2
2755,2100.0,3.0,210.0,Erandwane,4
2756,1500.0,2.0,140.0,Erandwane,2
2757,1660.0,3.0,128.0,Erandwane,3
2758,1200.0,2.0,62.0,Erandwane,2
2759,1800.0,3.0,80.0,Erandwane,3
2760,1210.0,2.0,69.0,Erandwane,2
2761,1405.0,2.0,99.0,Erandwane,2
2762,950.0,2.0,56.0,Erandwane,2
2763,1720.0,3.0,95.0,Erandwane,3
2764,5000.0,5.0,250.0,Erandwane,4
2765,1128.0,2.0,60.0,Erandwane,2
2766,1122.5,2.0,61.74,Erandwane,2
2767,3895.0,3.0,390.0,Erandwane,3
2768,1457.0,2.0,105.0,Erandwane,3
2769,1500.0,3.0,90.0,Erandwane,3
2770,1000.0,2.0,48.0,Erandwane,3
2771,1075.0,2.0,46.76,Erandwane,2
2772,1767.0,3.0,103.0,Fatima Nagar,3
2773,1295.0,2.0,65.0,Fatima Nagar,2
2774,1560.0,3.0,115.0,Fatima Nagar,3
2775,1545.0,3.0,68.75,Fatima Nagar,3
2776,1450.0,2.0,85.0,Fatima Nagar,3
2777,1750.0,3.0,120.0,Fatima Nagar,3
2778,1179.0,2.0,66.02,Fatima Nagar,2
2779,1015.0,2.0,25.88,Fatima Nagar,2
2780,1825.0,3.0,100.0,Fatima Nagar,3
2781,1350.0,3.0,54.54,Fatima Nagar,3
2782,1500.0,2.0,98.0,Fatima Nagar,3
2783,1600.0,3.0,52.0,Fatima Nagar,3
2784,1065.0,2.0,33.0,Fatima Nagar,3
2785,674.0,2.0,29.0,Fatima Nagar,2
2786,1300.0,2.0,60.0,Fatima Nagar,2
2787,3000.0,4.0,160.0,Fatima Nagar,4
2788,1800.0,3.0,180.0,Fatima Nagar,3
2789,1758.0,3.0,65.0,Fatima Nagar,3
2790,550.0,1.0,15.0,Fatima Nagar,2
2791,1200.0,2.0,66.5,Fatima Nagar,3
2792,600.0,4.0,40.0,Fatima Nagar,4
2793,1460.0,2.0,58.39,Fatima Nagar,3
2794,1100.0,3.0,78.0,Fatima Nagar,3
2795,1315.0,2.0,90.0,Fatima Nagar,2
2796,1263.0,2.0,93.32,Fatima Nagar,2
2797,1070.0,2.0,50.0,Fatima Nagar,2
2798,795.0,2.0,32.54,Fatima Nagar,2
2799,12000.0,12.0,525.0,Fatima Nagar,10
2800,1220.0,2.0,50.89,Fatima Nagar,2
2801,1200.0,3.0,70.0,Fatima Nagar,3
2802,1199.0,2.0,65.0,Fatima Nagar,2
2803,1750.0,3.0,180.0,Fatima Nagar,3
2804,1269.0,2.0,75.0,Fatima Nagar,2
2805,1575.0,3.0,63.1,Fatima Nagar,3
2806,1310.0,2.0,37.83,Fatima Nagar,3
2807,1650.0,3.0,71.0,Fatima Nagar,3
2808,1175.0,2.0,45.0,Fatima Nagar,2
2809,1305.0,2.0,59.0,Fatima Nagar,3
2810,1150.0,2.0,77.0,Fatima Nagar,2
2811,3300.0,6.0,165.0,Fatima Nagar,6
2812,1200.0,2.0,108.0,Fatima Nagar,3
2813,2215.0,4.0,156.0,Fatima Nagar,3
2814,1288.0,2.0,70.0,Fatima Nagar,3
2815,1846.0,3.0,145.0,Fatima Nagar,3
2816,700.0,1.0,19.4,Fatima Nagar,2
2817,1460.0,2.0,75.0,Fatima Nagar,3
2818,1095.0,2.0,60.0,Fatima Nagar,2
2819,1700.0,2.0,68.5,Fatima Nagar,3
2820,2145.0,3.0,125.0,Fatima Nagar,3
2821,883.0,2.0,37.0,Fatima Nagar,2
2822,1414.0,2.0,84.18,Fatima Nagar,2
2823,1560.0,3.0,125.0,Fatima Nagar,3
2824,1656.0,3.0,90.0,Fatima Nagar,3
2825,1756.0,3.0,131.0,Fatima Nagar,3
2826,1682.0,3.0,114.0,Fatima Nagar,3
2827,1458.0,3.0,60.0,Fatima Nagar,3
2828,1017.0,2.0,27.0,Fatima Nagar,2
2829,1649.0,3.0,150.0,Fatima Nagar,3
2830,1202.0,2.0,79.0,Fatima Nagar,2
2831,1200.0,2.0,75.0,Fatima Nagar,3
2832,1650.0,3.0,51.98,Fatima Nagar,3
2833,2180.0,3.0,210.0,Fatima Nagar,3
2834,1200.0,2.0,56.0,Fatima Nagar,2
2835,1728.0,3.0,125.0,Fatima Nagar,3
2836,1200.0,4.0,90.0,Fatima Nagar,6
2837,400.0,1.0,35.0,Fatima Nagar,1
2838,1984.0,4.0,145.0,Fatima Nagar,3
2839,1200.0,2.0,61.0,Fatima Nagar,2
2840,1245.0,2.0,75.0,Fatima Nagar,2
2841,1063.0,2.0,32.8,Fatima Nagar,2
2842,3435.0,2.0,341.0,Fatima Nagar,4
2843,1262.0,2.0,67.0,Fatima Nagar,2
2844,2302.5,2.0,80.59,Fatima Nagar,4
2845,1355.0,2.0,97.6,Fatima Nagar,2
2846,1565.0,2.0,56.0,Fatima Nagar,3
2847,1100.0,2.0,49.49,Fatima Nagar,2
2848,1250.0,2.0,50.0,Fatima Nagar,3
2849,1200.0,1.0,36.0,Fatima Nagar,2
2850,1307.0,2.0,50.0,Fatima Nagar,2
2851,1200.0,3.0,76.13,Fatima Nagar,3
2852,1110.0,2.0,29.97,Fatima Nagar,3
2853,1602.0,2.0,75.0,Fatima Nagar,3
2854,1210.0,2.0,82.0,Fatima Nagar,2
2855,1480.0,3.0,75.0,Fatima Nagar,3
2856,2790.0,5.0,198.0,Fatima Nagar,4
2857,1144.0,2.0,65.0,Fatima Nagar,2
2858,1243.0,2.0,46.0,Fatima Nagar,2
2859,1415.0,2.0,120.0,Fatima Nagar,2
2860,1160.0,2.0,42.0,Fatima Nagar,3
2861,2495.0,3.0,130.0,Fatima Nagar,3
2862,1420.0,3.0,62.0,Fatima Nagar,3
2863,1116.0,2.0,45.0,Fatima Nagar,2
2864,1020.0,2.0,30.27,Fatima Nagar,2
2865,1235.0,2.0,52.76,Fatima Nagar,2
2866,1255.0,2.0,65.0,Fatima Nagar,2
2867,1476.0,2.0,73.0,Fatima Nagar,3
2868,2280.0,4.0,125.0,Fatima Nagar,3
2869,1400.0,2.0,42.0,Fatima Nagar,3
2870,1750.0,3.0,58.0,Fatima Nagar,3
2871,1560.0,3.0,90.0,Fatima Nagar,3
2872,2456.0,7.0,85.0,Fatima Nagar,7
2873,1140.0,2.0,34.0,Fatima Nagar,2
2874,1026.0,2.0,50.18,Fatima Nagar,2
2875,1197.0,2.0,75.0,Fatima Nagar,2
2876,1126.0,2.0,39.4,Fatima Nagar,2
2877,1123.0,2.0,60.0,Fatima Nagar,2
2878,1100.0,2.0,50.0,Fatima Nagar,2
2879,3295.0,3.0,310.0,Fatima Nagar,3
2880,1200.0,4.0,80.0,Fatima Nagar,4
2881,3000.0,4.0,140.0,Fatima Nagar,4
2882,1260.0,2.0,55.0,Fatima Nagar,2
2883,1573.0,3.0,100.0,Fatima Nagar,3
2884,1035.0,2.0,55.0,Fatima Nagar,2
2885,3596.0,4.0,268.0,Fatima Nagar,4
2886,1290.0,3.0,62.0,Fatima Nagar,3
2887,1010.0,2.0,32.0,Fatima Nagar,2
2888,1226.0,2.0,65.59,Fatima Nagar,2
2889,510.0,1.0,25.25,Fergusson College Road,1
2890,1427.0,3.0,120.0,Fergusson College Road,3
2891,3600.0,6.0,141.0,Fergusson College Road,6
2892,1350.0,2.0,55.55,Fergusson College Road,2
2893,375.0,2.0,26.0,Fergusson College Road,1
2894,2791.0,3.0,223.0,Fergusson College Road,3
2895,1230.0,2.0,43.48,Fergusson College Road,2
2896,1296.0,2.0,83.0,Fergusson College Road,2
2897,3300.0,5.0,240.0,Fergusson College Road,5
2898,1190.0,2.0,49.98,Fergusson College Road,2
2899,1580.0,2.0,65.0,Fergusson College Road,3
2900,3095.0,3.0,350.0,Fergusson College Road,3
2901,1006.0,2.0,35.0,Fergusson College Road,2
2902,1450.0,2.0,50.75,Fergusson College Road,3
2903,1405.0,2.0,78.0,Fergusson College Road,3
2904,1090.0,2.0,32.69,Fergusson College Road,2
2905,2200.0,2.0,162.0,Fergusson College Road,3
2906,1163.0,2.0,98.86,Fergusson College Road,2
2907,1145.0,2.0,55.0,Fergusson College Road,2
2908,600.0,1.0,28.0,Fergusson College Road,1
2909,360.0,1.0,26.0,Fergusson College Road,1
2910,1750.0,3.0,150.0,Fergusson College Road,3
2911,1179.0,2.0,75.0,Fergusson College Road,2
2912,946.0,2.0,38.0,Fergusson College Road,2
2913,990.0,2.0,44.55,Fergusson College Road,2
2914,3500.0,5.0,160.0,Fergusson College Road,6
2915,3067.0,4.0,230.0,Fergusson College Road,4
2916,1559.0,3.0,69.315,Fergusson College Road,3
2917,700.0,1.0,35.0,Fergusson College Road,2
2918,755.0,1.0,34.0,Fergusson College Road,2
2919,1250.0,3.0,139.0,Fergusson College Road,3
2920,2300.0,3.0,220.0,Fergusson College Road,3
2921,2024.0,3.0,157.0,Fergusson College Road,3
2922,420.0,1.0,17.0,Fergusson College Road,1
2923,2150.0,6.0,205.0,Fergusson College Road,6
2924,1132.0,2.0,79.28,Fergusson College Road,2
2925,1605.0,2.0,85.0,Fergusson College Road,3
2926,1850.0,3.0,98.0,Fergusson College Road,3
2927,2006.0,4.0,196.0,Fergusson College Road,3
2928,1600.0,3.0,180.0,Fergusson College Road,3
2929,1200.0,4.0,98.0,Fergusson College Road,5
2930,1175.0,2.0,57.0,Fergusson College Road,2
2931,1200.0,2.0,75.0,Fergusson College Road,2
2932,1342.0,3.0,92.0,Fergusson College Road,3
2933,2431.0,3.0,100.0,Fergusson College Road,3
2934,1430.0,2.0,54.11,Fergusson College Road,3
2935,1155.0,2.0,46.0,Fergusson College Road,2
2936,1366.0,2.0,83.0,Fergusson College Road,2
2937,1123.0,2.0,56.0,Fergusson College Road,2
2938,1230.0,2.0,58.0,Fergusson College Road,2
2939,1165.0,2.0,33.64,Fergusson College Road,2
2940,1745.0,3.0,100.0,Fergusson College Road,3
2941,1077.0,2.0,93.0,Fergusson College Road,2
2942,1350.0,3.0,60.0,Fergusson College Road,3
2943,1490.0,2.0,59.6,Fergusson College Road,3
2944,1270.0,2.0,55.25,Fergusson College Road,3
2945,1208.51,3.0,42.0,Fergusson College Road,3
2946,1000.0,5.0,98.0,Fergusson College Road,6
2947,1900.0,3.0,155.0,Fergusson College Road,3
2948,2075.0,3.0,115.0,Fergusson College Road,3
2949,1330.0,3.0,73.5,Fergusson College Road,3
2950,1198.0,2.0,86.26,Fergusson College Road,2
2951,1555.0,3.0,75.0,Fergusson College Road,3
2952,920.0,2.0,40.0,Fergusson College Road,2
2953,1012.0,2.0,59.0,Fergusson College Road,2
2954,1315.0,2.0,75.0,Fergusson College Road,2
2955,1595.0,3.0,70.39,Fergusson College Road,3
2956,1099.0,2.0,65.0,Fergusson College Road,2
2957,1080.0,2.0,50.0,Fergusson College Road,2
2958,3500.0,4.0,185.0,Fergusson College Road,3
2959,1680.0,3.0,125.0,Fergusson College Road,3
2960,1636.0,2.0,82.89,Fergusson College Road,2
2961,4000.0,4.0,325.0,Fergusson College Road,4
2962,2425.0,3.0,197.0,Fergusson College Road,3
2963,3978.0,4.0,428.0,Fergusson College Road,4
2964,1100.0,2.0,60.0,Fergusson College Road,2
2965,1842.0,3.0,115.0,Fergusson College Road,3
2966,973.0,2.0,56.0,Fergusson College Road,2
2967,1141.0,2.0,62.0,Fergusson College Road,2
2968,700.0,1.0,30.84,Fergusson College Road,1
2969,1225.0,2.0,71.05,Fergusson College Road,2
2970,1500.0,3.0,95.0,Fergusson College Road,3
2971,1835.0,3.0,160.0,Fergusson College Road,3
2972,1500.0,4.0,89.45,Fergusson College Road,4
2973,1683.0,3.0,110.0,Fergusson College Road,3
2974,1148.0,2.0,69.0,Fergusson College Road,2
2975,1290.0,3.0,45.33,Fergusson College Road,3
2976,1100.0,2.0,41.0,Fergusson College Road,2
2977,1300.0,2.0,51.0,Fergusson College Road,3
2978,635.0,1.0,28.0,Fergusson College Road,2
2979,1011.0,2.0,38.0,Fergusson College Road,2
2980,2750.0,5.0,275.0,Fergusson College Road,3
2981,525.0,1.0,26.01,Fergusson College Road,1
2982,1263.0,2.0,51.5,Fergusson College Road,2
2983,1750.0,3.0,58.0,Fergusson College Road,3
2984,1419.0,2.0,48.1,Fergusson College Road,2
2985,2690.0,3.0,295.0,Fergusson College Road,3
2986,1080.0,2.0,31.99,Fergusson College Road,2
2987,1639.0,3.0,107.0,Fergusson College Road,3
2988,1362.0,3.0,62.63,Fergusson College Road,3
2989,1362.0,3.0,62.63,Fergusson College Road,3
2990,1400.0,2.0,105.0,Fergusson College Road,2
2991,700.0,1.0,21.5,Fergusson College Road,1
2992,1225.0,2.0,71.05,Fergusson College Road,2
2993,1037.0,2.0,36.0,Fergusson College Road,2
2994,4800.0,4.0,550.0,Fergusson College Road,4
2995,3758.0,3.0,300.0,Fergusson College Road,3
2996,650.0,2.0,45.0,Fergusson College Road,2
2997,1210.0,2.0,54.0,Fergusson College Road,2
2998,450.0,1.0,20.0,Fergusson College Road,1
2999,1050.0,2.0,45.0,Fergusson College Road,2
3000,1357.0,2.0,59.0,Fergusson College Road,3
3001,1276.0,2.0,69.5,Fergusson College Road,2
3002,2153.0,4.0,120.0,Fergusson College Road,3
3003,1515.0,3.0,80.5,Fergusson College Road,3
3004,1175.0,2.0,86.68,Fergusson College Road,2
3005,1120.0,2.0,42.5,Fergusson College Road,2
3006,1830.0,3.0,89.89,Fergusson College Road,3
3007,1227.0,2.0,42.88,Fergusson College Road,2
3008,1408.0,3.0,80.0,Fergusson College Road,3
3009,1881.0,3.0,115.0,Fergusson College Road,3
3010,1379.0,2.0,85.0,Fergusson College Road,2
3011,510.0,1.0,22.0,Fergusson College Road,1
3012,1250.0,3.0,56.0,Ganesh Peth,3
3013,2061.0,3.0,200.0,Ganesh Peth,3
3014,589.0,1.0,27.0,Ganesh Peth,1
3015,1550.0,3.0,67.0,Ganesh Peth,3
3016,1062.0,2.0,38.0,Ganesh Peth,2
3017,1500.0,3.0,139.0,Ganesh Peth,3
3018,1275.0,2.0,52.0,Ganesh Peth,2
3019,4500.0,5.0,415.0,Ganesh Peth,5
3020,1220.0,2.0,56.5,Ganesh Peth,2
3021,1470.0,2.0,88.64,Ganesh Peth,3
3022,1200.0,2.0,55.0,Ganesh Peth,2
3023,999.0,2.0,45.0,Ganesh Peth,2
3024,1160.0,2.0,44.08,Ganesh Peth,2
3025,2710.0,3.0,251.0,Ganesh Peth,3
3026,1243.0,2.0,58.0,Ganesh Peth,2
3027,1098.0,2.0,72.0,Ganesh Peth,2
3028,1180.0,2.0,50.0,Ganesh Peth,2
3029,1320.0,2.0,110.0,Ganesh Peth,4
3030,1350.0,3.0,55.0,Ganesh Peth,3
3031,1200.0,2.0,66.0,Ganesh Peth,3
3032,1850.0,4.0,86.0,Ganesh Peth,4
3033,1726.0,3.0,145.0,Ganesh Peth,3
3034,1634.0,3.0,83.33,Ganesh Peth,3
3035,1210.0,2.0,72.0,Ganesh Peth,2
3036,1043.0,2.0,65.0,Ganesh Peth,2
3037,1020.0,2.0,42.48,Ganesh Peth,2
3038,1463.0,1.0,142.0,Ganesh Peth,2
3039,1818.0,3.0,135.0,Ganesh Peth,3
3040,1259.0,2.0,67.4,Ganesh Peth,2
3041,1817.0,4.0,153.0,Ganesh Peth,3
3042,1340.0,2.0,64.31,Ganesh Peth,3
3043,1160.0,2.0,46.39,Ganesh Peth,2
3044,1070.0,2.0,37.45,Ganesh Peth,2
3045,1920.0,3.0,150.0,Ganesh Peth,3
3046,1290.0,2.0,80.0,Ganesh Peth,2
3047,1462.0,3.0,71.0,Ganesh Peth,3
3048,2094.0,2.0,113.19,Ganesh Peth,3
3049,1428.0,2.0,80.0,Ganesh Peth,3
3050,1410.0,2.0,50.06,Ganesh Peth,3
3051,1800.0,3.0,85.0,Ganesh Peth,3
3052,1804.0,3.0,102.0,Ganesh Peth,3
3053,3035.0,5.0,271.0,Ganesh Peth,3
3054,1205.0,2.0,70.0,Ganesh Peth,2
3055,1090.0,2.0,35.03,Ganesh Peth,2
3056,1884.0,3.0,98.0,Ganesh Peth,3
3057,1340.0,2.0,60.0,Ganesh Peth,2
3058,2792.0,4.0,220.0,Ganesh Peth,4
3059,1050.0,2.0,52.5,Ganesh Peth,2
3060,1891.0,2.0,66.165,Ganesh Peth,4
3061,1760.0,3.0,160.0,Ganesh Peth,3
3062,1650.0,3.0,100.0,Ganesh Peth,3
3063,1295.0,2.0,95.0,Ganesh Peth,2
3064,1133.0,2.0,38.41,Ganesh Peth,2
3065,1243.0,2.0,46.0,Ganesh Peth,2
3066,1201.0,2.0,59.99,Ganesh Peth,2
3067,1910.0,3.0,142.0,Ganesh Peth,3
3068,1250.0,2.0,58.0,Ganesh Peth,2
3069,1050.0,4.0,90.0,Ganesh Peth,4
3070,1178.0,2.0,75.0,Ganesh Peth,2
3071,3664.0,3.0,325.0,Ganesh Peth,3
3072,1200.0,2.0,45.0,Ganesh Peth,2
3073,2500.0,5.0,125.0,Ganesh Peth,5
3074,2132.0,3.0,80.0,Ganesh Peth,3
3075,1060.0,2.0,35.0,Ganesh Peth,2
3076,2650.0,4.0,199.0,Ganesh Peth,3
3077,2023.0,4.0,130.0,Ganesh Peth,3
3078,1220.0,2.0,52.0,Ganesh Peth,2
3079,1724.0,3.0,125.0,Ganesh Peth,3
3080,1200.0,3.0,56.12,Ganesh Peth,3
3081,1044.0,2.0,85.0,Ganesh Peth,2
3082,1190.0,2.0,60.0,Ganesh Peth,2
3083,1300.0,2.0,60.0,Ganesh Peth,2
3084,1046.0,2.0,49.06,Ganesh Peth,2
3085,1000.0,2.0,51.0,Ganesh Peth,2
3086,1683.0,3.0,140.0,Ganesh Peth,3
3087,1705.0,3.0,75.0,Ganesh Peth,3
3088,1532.5,3.0,79.465,Ganesh Peth,3
3089,1500.0,3.0,90.0,Ganesh Peth,3
3090,1250.0,2.0,44.0,Ganesh Peth,3
3091,1463.0,2.0,61.45,Ganesh Peth,3
3092,1237.5,2.0,49.49,Ganesh Peth,2
3093,1760.0,3.0,110.0,Ganesh Peth,3
3094,1165.0,2.0,49.61,Ganesh Peth,2
3095,2400.0,2.0,228.0,Ganesh Peth,2
3096,1683.0,3.0,80.0,Ganesh Peth,3
3097,1203.0,2.0,72.0,Ganesh Peth,2
3098,1100.0,2.0,52.97,Ganesh Peth,3
3099,1400.0,2.0,56.0,Ganesh Peth,3
3100,1200.0,4.0,115.0,Ganesh Peth,5
3101,1537.0,3.0,81.0,Ganesh Peth,3
