,area_type,total_sqft,bath,price,location,bhk
3583,Super built-up  Area,1420,3,90,Gokhale Nagar,3
3584,Built-up  Area,1256,2,65,Gokhale Nagar,2
3585,Super built-up  Area,2475,4,186,Gultekdi,4
3586,Built-up  Area,1600,3,65,Gultekdi,3
3587,Built-up  Area,2000,4,75.5,Gultekdi,4
3588,Built-up  Area,1170,2,52,Gultekdi,2
3589,Super built-up  Area,1550,3,64.5,Gultekdi,3
3590,Built-up  Area,891,2,25,Gultekdi,2
3591,Super built-up  Area,5600,2,548.5,Gultekdi,5
3592,Super built-up  Area,1185,2,42.6,Gultekdi,2
3593,Super built-up  Area,1180,2,69,Gultekdi,2
3594,Super built-up  Area,649.5,1,17.535,Gultekdi,1
3595,Built-up  Area,1025,2,48,Gultekdi,3
3596,Super built-up  Area,1050,2,67,Gultekdi,2
3597,Super built-up  Area,2090,4,95.1,Gultekdi,4
3598,Built-up  Area,1450,2,85,Gultekdi,3
3599,Built-up  Area,1580,3,75,Gultekdi,3
3600,Super built-up  Area,1000,2,28.88,Gultekdi,2
3601,Super built-up  Area,1705,3,74.16,Gultekdi,3
3602,Super built-up  Area,3675,4,367,Gultekdi,4
3603,Super built-up  Area,1238,2,67,Gultekdi,2
3604,Super built-up  Area,1703,3,101,Gultekdi,3
3605,Super built-up  Area,3584,4,199,Gultekdi,4
3606,Plot  Area,1575,4,150,Gultekdi,5
3607,Super built-up  Area,3035,5,200,Gultekdi,4
3608,Super built-up  Area,1020,2,39,Gultekdi,2
3609,Plot  Area,30000,4,2100,Gultekdi,4
3610,Super built-up  Area,1220,3,56,Gultekdi,3
3611,Plot  Area,1200,9,100,Gultekdi,9
3612,Built-up  Area,1875,2,235,Gultekdi,3
3613,Super built-up  Area,2250,3,195,Gultekdi,3
3614,Super built-up  Area,1430,2,113,Gultekdi,2
3615,Built-up  Area,1234,2,61,Gultekdi,2
3616,Super built-up  Area,1468,3,130,Gultekdi,2
3617,Built-up  Area,1050,2,41,Gultekdi,2
3618,Built-up  Area,1020,2,29.46,Gultekdi,2
3619,Super built-up  Area,1397,3,104,Gultekdi,3
3620,Super built-up  Area,888,2,34,Gultekdi,2
3621,Super built-up  Area,927,2,37,Gultekdi,2
3622,Super built-up  Area,1937,3,140,Gultekdi,3
3623,Super built-up  Area,1075,2,50,Gultekdi,3
3624,Super built-up  Area,1180,2,36.5,Gultekdi,2
3625,Built-up  Area,1155,2,60,Gultekdi,3
3626,Super built-up  Area,2600,3,237,Gultekdi,3
3627,Plot  Area,3445,5,270,Gultekdi,4
3628,Super built-up  Area,1080,2,35,Gultekdi,2
3629,Super built-up  Area,3960,5,386,Gultekdi,4
3630,Super built-up  Area,1410,2,56.4,Gultekdi,3
3631,Super built-up  Area,1257,2,69,Gultekdi,2
3632,Super built-up  Area,1230,2,66.25,Gultekdi,2
3633,Super built-up  Area,1134,2,45.36,Gultekdi,2
3634,Super built-up  Area,1250,2,40,Gultekdi,2
3635,Super built-up  Area,1250,2,59,Gultekdi,2
3636,Super built-up  Area,1733,2,85,Gultekdi,3
3637,Built-up  Area,1495,2,75,Gultekdi,3
3638,Super built-up  Area,1385,2,65,Gultekdi,2
3639,Super built-up  Area,1020,2,41.82,Gultekdi,2
3640,Super built-up  Area,1617.5,3,73.595,Gultekdi,3
3641,Super built-up  Area,656,1,43,Gultekdi,1
3642,Super built-up  Area,2648,5,251.5,Gultekdi,4
3643,Super built-up  Area,1302.5,2,67.73,Gultekdi,2
3644,Super built-up  Area,1628,2,68,Gultekdi,2
3645,Super built-up  Area,1685,3,60,Gultekdi,3
3646,Super built-up  Area,2502,4,180,Gultekdi,4
3647,Super built-up  Area,750,2,36,Gultekdi,2
3648,Plot  Area,1200,4,130,Gultekdi,4
3649,Super built-up  Area,539,1,45,Gultekdi,1
3650,Super built-up  Area,1639,3,120,Gultekdi,3
3651,Super built-up  Area,1800,3,95,Gultekdi,3
3652,Super built-up  Area,1115,2,43,Gultekdi,2
3653,Super built-up  Area,1093,2,72,Gultekdi,2
3654,Built-up  Area,450,1,16,Gultekdi,1
3655,Super built-up  Area,1650,3,85,Gultekdi,3
3656,Super built-up  Area,1350,2,58,Gultekdi,3
3657,Super built-up  Area,1260,2,108,Gultekdi,2
3658,Super built-up  Area,2501,3,138,Gultekdi,3
3659,Built-up  Area,1240,2,58.58,Gultekdi,2
3660,Super built-up  Area,1000,2,43,Gultekdi,2
3661,Super built-up  Area,1020,2,48.45,Gultekdi,2
3662,Super built-up  Area,1345,2,108,Gultekdi,2
3663,Super built-up  Area,1600,3,74.5,Gultekdi,3
3664,Super built-up  Area,1394,2,56,Gultekdi,2
3665,Super built-up  Area,1077,2,50,Gultekdi,2
3666,Super built-up  Area,1120,2,36,Gultekdi,2
3667,Super built-up  Area,1393,3,54,Gultekdi,3
3668,Super built-up  Area,2266,3,207,Gultekdi,3
3669,Super built-up  Area,1120,2,49,Gultekdi,2
3670,Super built-up  Area,1830,3,90,Gultekdi,3
3671,Super built-up  Area,1010,2,40.4,Gultekdi,2
3672,Built-up  Area,600,1,27,Gultekdi,2
3673,Built-up  Area,2065,4,248,Gultekdi,4
3674,Built-up  Area,4800,4,420,Gultekdi,4
3675,Built-up  Area,1654,3,70,Gultekdi,3
3676,Super built-up  Area,1365,3,66,Gultekdi,3
3677,Super built-up  Area,3700,4,325,Gultekdi,4
3678,Super built-up  Area,1050,2,38,Gultekdi,2
3679,Super built-up  Area,972,2,40,Gultekdi,2
3680,Super built-up  Area,2180,4,115,Gultekdi,4
3681,Super built-up  Area,1050,2,51.66,Gultekdi,2
3682,Super built-up  Area,1760,3,160,Gultekdi,3
3683,Super built-up  Area,1839,3,160,Gultekdi,3
3684,Built-up  Area,2316,3,125,Gultekdi,3
3685,Super built-up  Area,1250,2,65,Gultekdi,2
3686,Built-up  Area,1050,2,125,Gultekdi,2
3687,Plot  Area,1650,2,140,Gultekdi,4
3688,Built-up  Area,1200,2,43,Gultekdi,2
3689,Super built-up  Area,1279,2,100,Gultekdi,2
3690,Super built-up  Area,1200,2,78,Gultekdi,2
3691,Super built-up  Area,1075,2,53.7,Gultekdi,2
3692,Built-up  Area,660,1,18,Gultekdi,2
3693,Super built-up  Area,1960,3,165,Gultekdi,3
3694,Built-up  Area,1053,2,51,Gultekdi,2
3695,Super built-up  Area,2275,4,187,Gultekdi,3
3696,Plot  Area,1050,2,58,Gultekdi,2
3697,Plot  Area,600,4,70,Gultekdi,4
3698,Plot  Area,2200,4,150,Gultekdi,3
3699,Super built-up  Area,1299,2,58,Gultekdi,2
3700,Super built-up  Area,940,2,32.9,Gultekdi,2
3701,Super built-up  Area,1355,2,51.5,Gultekdi,3
3702,Built-up  Area,850,2,45,Gultekdi,2
3703,Super built-up  Area,1680,2,68,Gultekdi,3
3704,Plot  Area,1200,4,110,Gultekdi,4
3705,Super built-up  Area,1730,3,175,Gultekdi,3
3706,Super built-up  Area,450,1,20,Gultekdi,1
3707,Built-up  Area,1367,2,80,Gultekdi,2
3708,Super built-up  Area,1232,2,94.28,Gultekdi,2
3709,Carpet  Area,600,1,65,Gultekdi,2
3710,Plot  Area,1200,5,130,Gultekdi,6
3711,Super built-up  Area,1075,2,35,Guruwar peth,3
3712,Super built-up  Area,945,2,54,Guruwar peth,2
3713,Super built-up  Area,984,2,44.28,Guruwar peth,2
3714,Super built-up  Area,1113,2,51,Guruwar peth,2
3715,Built-up  Area,1760,3,88,Guruwar peth,3
3716,Built-up  Area,700,1,41,Guruwar peth,1
3717,Super built-up  Area,1133,2,49.07,Guruwar peth,2
3718,Super built-up  Area,1580,3,76,Guruwar peth,3
3719,Super built-up  Area,1779,3,112,Guruwar peth,3
3720,Super built-up  Area,1116,2,51.91,Guruwar peth,2
3721,Plot  Area,2400,6,125,Guruwar peth,8
3722,Plot  Area,1200,4,135,Guruwar peth,4
3723,Super built-up  Area,1000,2,46.5,Guruwar peth,2
3724,Super built-up  Area,1565,3,88.5,Guruwar peth,3
3725,Super built-up  Area,1519,3,93,Guruwar peth,3
3726,Built-up  Area,340,1,10,Guruwar peth,1
3727,Super built-up  Area,982,2,24.55,Guruwar peth,2
3728,Super built-up  Area,1418,2,95,Guruwar peth,2
3729,Built-up  Area,1305,3,95.45,Guruwar peth,3
3730,Super built-up  Area,1210,2,58,Guruwar peth,3
3731,Super built-up  Area,1470,2,90,Guruwar peth,3
3732,Plot  Area,2400,7,110,Guruwar peth,6
3733,Built-up  Area,860,1,43,Guruwar peth,2
3734,Super built-up  Area,1533,3,85,Guruwar peth,3
3735,Super built-up  Area,3600,4,365,Guruwar peth,4
3736,Built-up  Area,1590,2,125,Guruwar peth,3
3737,Super built-up  Area,1900,3,160,Guruwar peth,3
3738,Carpet  Area,1069,3,65.4,Guruwar peth,3
3739,Plot  Area,1200,3,90,Guruwar peth,3
3740,Super built-up  Area,1352,2,68,Guruwar peth,2
3741,Super built-up  Area,2430,4,180,Guruwar peth,3
3742,Super built-up  Area,1340,2,64.31,Guruwar peth,3
3743,Super built-up  Area,1555,2,82,Guruwar peth,3
3744,Built-up  Area,956,2,49,Guruwar peth,2
3745,Super built-up  Area,1500,2,55,Guruwar peth,3
3746,Built-up  Area,1173,2,60,Guruwar peth,2
3747,Super built-up  Area,1015,2,25.88,Guruwar peth,2
3748,Super built-up  Area,1339,2,58,Guruwar peth,2
3749,Super built-up  Area,1015,2,33.5,Guruwar peth,2
3750,Super built-up  Area,1574,3,93.34,Guruwar peth,3
3751,Super built-up  Area,1050,2,49.87,Guruwar peth,2
3752,Built-up  Area,1725,3,85,Guruwar peth,3
3753,Super built-up  Area,3000,4,140,Guruwar peth,4
3754,Super built-up  Area,1400,2,80,Guruwar peth,2
3755,Super built-up  Area,1200,2,68,Guruwar peth,3
3756,Plot  Area,1200,2,45,Guruwar peth,2
3757,Super built-up  Area,1200,2,52,Guruwar peth,2
3758,Super built-up  Area,1240,2,53.27,Guruwar peth,2
3759,Super built-up  Area,780,1,55,Guruwar peth,1
3760,Super built-up  Area,2500,4,260,Guruwar peth,3
3761,Built-up  Area,1115,2,46,Guruwar peth,2
3762,Super built-up  Area,1221,3,72,Guruwar peth,3
3763,Built-up  Area,1575,2,90,Guruwar peth,2
3764,Super built-up  Area,1200,2,45,Guruwar peth,2
3765,Built-up  Area,621,7,64,Guruwar peth,7
3766,Super built-up  Area,1410,2,45,Guruwar peth,2
3767,Super built-up  Area,1014,2,35,Guruwar peth,2
3768,Super built-up  Area,1125,2,36,Guruwar peth,2
3769,Plot  Area,1660.4,4,211,Guruwar peth,4
3770,Super built-up  Area,3131,4,349,Guruwar peth,4
3771,Plot  Area,1200,1,95,Guruwar peth,2
3772,Super built-up  Area,583,1,26.9,Guruwar peth,1
3773,Built-up  Area,1300,2,55,Guruwar peth,3
3774,Super built-up  Area,1194,2,46,Guruwar peth,2
3775,Built-up  Area,1200,4,85,Guruwar peth,4
3776,Super built-up  Area,1870,3,138,Guruwar peth,3
3777,Super built-up  Area,1100,2,58,Guruwar peth,2
3778,Super built-up  Area,1680,4,95,Guruwar peth,3
3779,Plot  Area,1200,2,136,Guruwar peth,2
3780,Super built-up  Area,1200,2,45,Guruwar peth,2
3781,Super built-up  Area,1305,2,60,Guruwar peth,3
3782,Super built-up  Area,834,1,62,Guruwar peth,1
3783,Super built-up  Area,1108,2,74.23,Guruwar peth,2
3784,Carpet  Area,381,1,28,Guruwar peth,1
3785,Super built-up  Area,1636,3,92,Guruwar peth,3
3786,Built-up  Area,1565,3,98.91,Guruwar peth,3
3787,Super built-up  Area,1225,2,47.88,Guruwar peth,2
3788,Super built-up  Area,1880,3,120,Guruwar peth,3
3789,Super built-up  Area,1800,3,85,Guruwar peth,3
3790,Super built-up  Area,1248,2,130,Guruwar peth,2
3791,Plot  Area,400,2,35,Guruwar peth,4
3792,Super built-up  Area,1450,2,85,Guruwar peth,3
3793,Plot  Area,672,1,27,Guruwar peth,1
3794,Super built-up  Area,1140,2,50,Guruwar peth,2
3795,Super built-up  Area,660,1,23,Guruwar peth,1
3796,Super built-up  Area,1150,2,42,Guruwar peth,2
3797,Super built-up  Area,1450,3,58,Guruwar peth,3
3798,Super built-up  Area,1650,3,85.5,Guruwar peth,3
3799,Super built-up  Area,1902,3,89,Guruwar peth,3
3800,Built-up  Area,1200,2,75,Guruwar peth,2
3801,Built-up  Area,1012,2,59,Guruwar peth,2
3802,Built-up  Area,1700,3,126,Guruwar peth,3
3803,Super built-up  Area,1485,2,59.4,Guruwar peth,3
3804,Carpet  Area,4500,3,225,Guruwar peth,4
3805,Super built-up  Area,1252,3,70,Guruwar peth,3
3806,Super built-up  Area,1691,3,93.01,Guruwar peth,3
3807,Super built-up  Area,1430,2,55,Guruwar peth,3
3808,Super built-up  Area,1460,3,76,Guruwar peth,3
3809,Super built-up  Area,1715,3,112,Guruwar peth,3
3810,Super built-up  Area,1660,3,131,Guruwar peth,3
3811,Super built-up  Area,4000,8,150,Guruwar peth,7
3812,Super built-up  Area,1200,2,44,Guruwar peth,2
3813,Super built-up  Area,1005,2,39.77,Guruwar peth,2
3814,Super built-up  Area,1188,2,39,Guruwar peth,2
3815,Super built-up  Area,1037,2,36.28,Guruwar peth,2
3816,Super built-up  Area,950,2,45,Guruwar peth,2
3817,Super built-up  Area,1062,2,42.48,Guruwar peth,2
3818,Super built-up  Area,1256,2,60,Guruwar peth,2
3819,Super built-up  Area,1565,2,57.91,Guruwar peth,3
3820,Super built-up  Area,2569,5,180,Guruwar peth,4
3821,Super built-up  Area,1400,2,90,Guruwar peth,2
3822,Super built-up  Area,3200,5,309,Guruwar peth,4
3823,Super built-up  Area,2406,5,289,Guruwar peth,3
3824,Super built-up  Area,1419,3,85,Guruwar peth,3
3825,Super built-up  Area,1408,2,58,Guruwar peth,2
3826,Super built-up  Area,1607,2,112,Guruwar peth,3
3827,Super built-up  Area,953,2,90,Guruwar peth,2
3828,Super built-up  Area,1063,2,32.79,Guruwar peth,2
3829,Super built-up  Area,1115,3,39.14,Guruwar peth,3
3830,Super built-up  Area,1392,2,110,Guruwar peth,2
3831,Super built-up  Area,620,2,23,Guruwar peth,2
3832,Super built-up  Area,1855,3,96,Guruwar peth,3
3833,Super built-up  Area,1684,3,86,Guruwar peth,3
3834,Super built-up  Area,1290,2,56.12,Guruwar peth,3
3835,Super built-up  Area,1090,2,55,Guruwar peth,2
3836,Built-up  Area,1425,3,57,Guruwar peth,3
3837,Super built-up  Area,1760,2,123,Hadapsar,3
3838,Super built-up  Area,1500,2,78,Hadapsar,2
3839,Super built-up  Area,1630,2,74.82,Hadapsar,3
3840,Super built-up  Area,1385,2,83.09,Hadapsar,2
3841,Super built-up  Area,1125,2,62,Hadapsar,2
3842,Super built-up  Area,1246,2,67,Hadapsar,2
3843,Built-up  Area,1075,2,37,Hadapsar,3
3844,Plot  Area,1092,2,98.5,Hadapsar,3
3845,Super built-up  Area,1615,3,59.76,Hadapsar,3
3846,Super built-up  Area,1070,2,42.79,Hadapsar,2
3847,Super built-up  Area,1200,2,35,Hadapsar,2
3848,Super built-up  Area,1190,2,57,Hadapsar,2
3849,Built-up  Area,1267,3,56,Hadapsar,3
3850,Built-up  Area,2000,3,166,Hadapsar,4
3851,Plot  Area,1808,4,80.27,Hadapsar,3
3852,Super built-up  Area,1232,2,89,Hadapsar,2
3853,Built-up  Area,1500,3,160,Hadapsar,3
3854,Plot  Area,1200,12,110,Hadapsar,8
3855,Built-up  Area,1025,2,29.6,Hadapsar,2
3856,Built-up  Area,1035,2,45,Hadapsar,2
3857,Super built-up  Area,1000,1,55,Hadapsar,2
3858,Super built-up  Area,1223,2,42.81,Hadapsar,3
3859,Super built-up  Area,1720,3,134,Hadapsar,3
3860,Super built-up  Area,1168,2,61,Hadapsar,2
3861,Super built-up  Area,1050,2,36.75,Hadapsar,2
3862,Super built-up  Area,1360,3,55,Hadapsar,3
3863,Super built-up  Area,1900,3,123,Hadapsar,3
3864,Super built-up  Area,1804,3,121,Hadapsar,3
3865,Super built-up  Area,2002,3,112,Hadapsar,3
3866,Super built-up  Area,1170,2,46.79,Hadapsar,2
3867,Plot  Area,1200,4,110,Hadapsar,6
3868,Super built-up  Area,1000,2,30,Hadapsar,2
3869,Plot  Area,1575,5,158,Hadapsar,4
3870,Built-up  Area,532,1,22.49,Hadapsar,1
3871,Built-up  Area,923,1,45.69,Hadapsar,1
3872,Super built-up  Area,1080,2,39,Hadapsar,2
3873,Built-up  Area,965,1,32,Hadapsar,1
3874,Built-up  Area,1400,2,40.44,Hadapsar,3
3875,Super built-up  Area,700,2,40,Hadapsar,2
3876,Super built-up  Area,1418,3,52.47,Hadapsar,3
3877,Super built-up  Area,1110,2,33,Hadapsar,2
3878,Plot  Area,1200,2,45,Hadapsar,2
3879,Super built-up  Area,1275,2,41.5,Hadapsar,3
3880,Built-up  Area,1220,2,80,Hadapsar,2
3881,Super built-up  Area,1494,2,94.55,Hadapsar,3
3882,Super built-up  Area,1318,3,54,Hadapsar,3
3883,Super built-up  Area,1041,2,36.44,Hadapsar,2
3884,Super built-up  Area,2017,2,125,Hadapsar,3
3885,Built-up  Area,1740,3,55,Hadapsar,3
3886,Super built-up  Area,1434,2,67.39,Hadapsar,3
3887,Built-up  Area,920,2,90,Hadapsar,4
3888,Super built-up  Area,881,2,48.06,Hadapsar,2
3889,Plot  Area,900,2,55,Hadapsar,2
3890,Super built-up  Area,3317.5,5,268.5,Hadapsar,4
3891,Super built-up  Area,1680,3,125,Hadapsar,3
3892,Super built-up  Area,1165,2,43,Hadapsar,2
3893,Super built-up  Area,1548,3,65,Hadapsar,3
3894,Super built-up  Area,900,2,27,Hadapsar,2
3895,Super built-up  Area,1590,3,131,Hadapsar,3
3896,Built-up  Area,2400,3,120,Hadapsar,3
3897,Super built-up  Area,1232,2,87,Hadapsar,2
3898,Built-up  Area,1200,2,60,Hadapsar,2
3899,Super built-up  Area,1171,2,72,Hadapsar,2
3900,Plot  Area,5000,6,360,Hadapsar,5
3901,Super built-up  Area,1590,3,54,Hadapsar,3
3902,Super built-up  Area,1320,3,60,Hadapsar,3
3903,Super built-up  Area,1730,3,115,Hadapsar,3
3904,Super built-up  Area,1170,2,120,Hadapsar,2
3905,Super built-up  Area,1195,2,73,Hadapsar,2
3906,Super built-up  Area,1820,3,89,Hadapsar,3
3907,Super built-up  Area,1350,2,45,Hadapsar,2
3908,Super built-up  Area,1150,2,45,Hadapsar,2
3909,Super built-up  Area,800,2,41.145,Hadapsar,2
3910,Super built-up  Area,527,1,35,Hadapsar,1
3911,Plot  Area,1280,3,87,Hadapsar,3
3912,Super built-up  Area,1798,3,110,Hadapsar,3
3913,Built-up  Area,1490,2,150,Hadapsar,2
3914,Super built-up  Area,1165,2,85,Hadapsar,2
3915,Super built-up  Area,1220,3,56,Hadapsar,3
3916,Super built-up  Area,1270,2,95,Hadapsar,2
3917,Super built-up  Area,1850,3,120,Hadapsar,3
3918,Plot  Area,1200,6,125,Hadapsar,6
3919,Built-up  Area,1030,2,44,Hadapsar,2
3920,Super built-up  Area,1192,2,53.5,Hadapsar,2
3921,Super built-up  Area,900,2,27.98,Hadapsar,2
3922,Super built-up  Area,1890,4,125,Hadapsar,3
3923,Super built-up  Area,1221,3,65,Hadapsar,3
3924,Super built-up  Area,2119,4,111,Hadapsar,4
3925,Super built-up  Area,1240,2,55,Hadapsar,2
3926,Super built-up  Area,1525,2,91.48,Hadapsar,3
3927,Plot  Area,1500,5,160,Hadapsar,4
3928,Super built-up  Area,1072,2,45,Hadapsar,2
3929,Super built-up  Area,1134,2,55,Hadapsar,2
3930,Built-up  Area,3090,4,350,Hadapsar,4
3931,Built-up  Area,488,1,20,Hadapsar,1
3932,Built-up  Area,1080,2,38,Hadapsar,2
3933,Built-up  Area,3565,4,218,Hadapsar,4
3934,Built-up  Area,1150,2,39,Hadapsar,2
3935,Super built-up  Area,1068,2,43,Hadapsar,2
3936,Super built-up  Area,1120,2,51,Hadapsar,2
3937,Plot  Area,1200,3,78,Hadapsar,2
3938,Super built-up  Area,900,2,27,Hadapsar,2
3939,Built-up  Area,4000,5,195,Hadapsar,4
3940,Super built-up  Area,1195,2,100,Hadapsar,2
3941,Super built-up  Area,1195,2,42.4,Hadapsar,2
3942,Super built-up  Area,1223,2,42.81,Hadapsar,3
3943,Super built-up  Area,980,2,51,Hadapsar,2
3944,Super built-up  Area,900,2,46.29,Hadapsar,2
3945,Super built-up  Area,1457,2,60,Hadapsar,2
3946,Super built-up  Area,1382,2,84.5,Hadapsar,2
3947,Super built-up  Area,1275,3,45,Hadapsar,3
3948,Super built-up  Area,1938,3,105,Hadapsar,3
3949,Super built-up  Area,1650,3,78,Hadapsar,3
3950,Super built-up  Area,1450,3,60.91,Hadapsar,3
3951,Super built-up  Area,1686,3,77,Hadapsar,3
3952,Super built-up  Area,1571,3,53.12,Hadapsar,3
3953,Super built-up  Area,1355,2,73,Hadapsar,2
3954,Plot  Area,1375,5,125,Hadapsar,5
3955,Super built-up  Area,1693,3,57.39,Hadapsar Industrial Estate,3
3956,Super built-up  Area,1128,2,65,Hadapsar Industrial Estate,2
3957,Super built-up  Area,3000,5,260,Hadapsar Industrial Estate,4
3958,Super built-up  Area,4624.5,2,453,Hadapsar Industrial Estate,4
3959,Super built-up  Area,1385,2,80,Hadapsar Industrial Estate,2
3960,Super built-up  Area,665,1,36.85,Hadapsar Industrial Estate,1
3961,Built-up  Area,1340,2,48.33,Hadapsar Industrial Estate,3
3962,Super built-up  Area,1453,2,46.48,Hadapsar Industrial Estate,3
3963,Built-up  Area,2842,3,162,Hadapsar Industrial Estate,3
3964,Super built-up  Area,1150,2,72.2,Hadapsar Industrial Estate,2
3965,Super built-up  Area,1050,2,53.5,Hadapsar Industrial Estate,2
3966,Built-up  Area,1100,2,50,Hadapsar Industrial Estate,2
3967,Super built-up  Area,1364,2,46.38,Hadapsar Industrial Estate,3
3968,Super built-up  Area,1140,2,43,Hadapsar Industrial Estate,2
3969,Plot  Area,1200,2,80,Hadapsar Industrial Estate,2
3970,Super built-up  Area,2000,3,200,Hadapsar Industrial Estate,3
3971,Super built-up  Area,1205,2,75,Hadapsar Industrial Estate,2
3972,Super built-up  Area,1306,2,55.91,Hadapsar Industrial Estate,2
3973,Built-up  Area,1100,2,75,Hadapsar Industrial Estate,2
3974,Super built-up  Area,1655,2,97.65,Hadapsar Industrial Estate,2
3975,Super built-up  Area,2065,4,210,Hadapsar Industrial Estate,3
3976,Plot  Area,4000,5,280,Hadapsar Industrial Estate,4
3977,Super built-up  Area,1084,2,55,Hadapsar Industrial Estate,2
3978,Built-up  Area,995,2,46,Hadapsar Industrial Estate,2
3979,Built-up  Area,1150,2,55,Hadapsar Industrial Estate,2
3980,Built-up  Area,1596,3,95,Hadapsar Industrial Estate,3
3981,Plot  Area,3250,4,180,Hadapsar Industrial Estate,4
3982,Super built-up  Area,2720,5,210,Hadapsar Industrial Estate,3
3983,Super built-up  Area,1060,3,62,Hadapsar Industrial Estate,3
3984,Plot  Area,2900,3,285,Hadapsar Industrial Estate,3
3985,Super built-up  Area,1350,2,80.99,Hadapsar Industrial Estate,3
3986,Super built-up  Area,1550,3,83,Hadapsar Industrial Estate,3
3987,Plot  Area,2360,4,150,Hadapsar Industrial Estate,4
3988,Built-up  Area,4200,1,160,Hadapsar Industrial Estate,2
3989,Built-up  Area,1150,2,48,Hadapsar Industrial Estate,2
3990,Plot  Area,1200,4,120,Hadapsar Industrial Estate,5
3991,Built-up  Area,1917,3,60,Hadapsar Industrial Estate,4
3992,Plot  Area,1850,6,150,Hadapsar Industrial Estate,6
3993,Super built-up  Area,1110,2,43,Hadapsar Industrial Estate,2
3994,Built-up  Area,1445,2,105,Hadapsar Industrial Estate,3
3995,Built-up  Area,3300,4,160,Hadapsar Industrial Estate,3
3996,Built-up  Area,2550,4,149,Hadapsar Industrial Estate,4
3997,Super built-up  Area,1545,3,69,Hadapsar Industrial Estate,3
3998,Super built-up  Area,1225,2,47,Hadapsar Industrial Estate,2
3999,Plot  Area,1180,2,74,Hadapsar Industrial Estate,2
4000,Super built-up  Area,695,1,25,Hadapsar Industrial Estate,2
4001,Super built-up  Area,1200,2,49,Hadapsar Industrial Estate,2
4002,Built-up  Area,1300,2,50,Hadapsar Industrial Estate,2
4003,Super built-up  Area,1595,3,62,Hadapsar Industrial Estate,3
4004,Super built-up  Area,827,2,45,Hadapsar Industrial Estate,2
4005,Super built-up  Area,1115,2,50,Hadapsar Industrial Estate,2
4006,Super built-up  Area,644,1,40,Hadapsar Industrial Estate,1
4007,Plot  Area,2400,2,152,Hadapsar Industrial Estate,3
4008,Super built-up  Area,1200,2,79.55,Hadapsar Industrial Estate,2
4009,Super built-up  Area,1719,3,184,Hadapsar Industrial Estate,3
4010,Super built-up  Area,1410,3,65,Hadapsar Industrial Estate,3
4011,Super built-up  Area,1027,2,68.62,Hadapsar Industrial Estate,2
4012,Plot  Area,600,2,50,Hadapsar Industrial Estate,3
4013,Built-up  Area,1240,2,45,Hadapsar Industrial Estate,2
4014,Super built-up  Area,1427,2,70,Hadapsar Industrial Estate,3
4015,Super built-up  Area,1670,3,75,Hadapsar Industrial Estate,3
4016,Super built-up  Area,2002,3,120,Hadapsar Industrial Estate,3
4017,Super built-up  Area,2400,3,251,Hadapsar Industrial Estate,3
4018,Plot  Area,2500,3,88,Hadapsar Industrial Estate,3
4019,Plot  Area,4408,4,344,Hadapsar Industrial Estate,4
4020,Super built-up  Area,2008,3,170,Hadapsar Industrial Estate,3
4021,Super built-up  Area,1100,2,44.55,Hadapsar Industrial Estate,2
4022,Super built-up  Area,1693,3,125,Hadapsar Industrial Estate,3
4023,Built-up  Area,865,2,40,Hadapsar Industrial Estate,2
4024,Built-up  Area,1180,2,45,Hadapsar Industrial Estate,3
4025,Built-up  Area,1640,3,70,Hadapsar Industrial Estate,3
4026,Super built-up  Area,1083,2,48,Hadapsar Industrial Estate,3
4027,Super built-up  Area,1756,3,134,Hadapsar Industrial Estate,3
4028,Super built-up  Area,1259,2,69.45,Hadapsar Industrial Estate,2
4029,Super built-up  Area,1100,2,61,Hadapsar Industrial Estate,2
4030,Plot  Area,2000,4,85,Hadapsar Industrial Estate,4
4031,Super built-up  Area,1639,3,77.89,Hadapsar Industrial Estate,3
4032,Super built-up  Area,1420,3,70,Hadapsar Industrial Estate,3
4033,Super built-up  Area,795,2,32.54,Hadapsar Industrial Estate,2
4034,Plot  Area,1415,2,74,Hadapsar Industrial Estate,3
4035,Super built-up  Area,1245,2,55,Hadapsar Industrial Estate,2
4036,Super built-up  Area,1655,2,70.5,Hadapsar Industrial Estate,3
4037,Super built-up  Area,1069,2,55,Hadapsar Industrial Estate,2
4038,Built-up  Area,1065,2,58,Hadapsar Industrial Estate,2
4039,Plot  Area,2325,3,95,Hadapsar Industrial Estate,3
4040,Super built-up  Area,1325,2,60.8,Hadapsar Industrial Estate,3
4041,Built-up  Area,1843,3,85,Hadapsar Industrial Estate,3
4042,Super built-up  Area,630,1,33.7,Hadapsar Industrial Estate,1
4043,Super built-up  Area,1230,2,80,Hadapsar Industrial Estate,2
4044,Built-up  Area,1100,2,60,Hadapsar Industrial Estate,2
4045,Super built-up  Area,1170,2,85,Hadapsar Industrial Estate,2
4046,Super built-up  Area,1184,2,62,Hadapsar Industrial Estate,2
4047,Built-up  Area,860,1,31,Hadapsar Industrial Estate,2
4048,Super built-up  Area,1012,2,44,Hadapsar Industrial Estate,2
4049,Built-up  Area,1350,3,65,Hadapsar Industrial Estate,3
4050,Super built-up  Area,1581,3,76,Hadapsar Industrial Estate,3
4051,Super built-up  Area,1183,2,79.54,Hadapsar Industrial Estate,2
4052,Super built-up  Area,1700,3,75,Hadapsar Industrial Estate,3
